1	2	145
2	1	155
2	3	215
3	2	230
3	4	185
4	3	200
4	5	120
5	4	115
5	6	105
6	5	100
6	7	110
7	6	115
7	8	100
8	7	90
8	9	115
9	8	115
9	10	105
10	9	95
10	11	100
11	10	100
11	12	95
12	11	90
12	13	125
13	12	125
13	14	145
14	13	140
14	15	100
15	14	100
15	16	205
16	15	205
16	17	265
17	16	265
17	18	175
18	17	175
18	19	170
19	18	170
19	20	175
20	19	175
13	87	300
11	154	360
11	51	300
11	64	180
10	30	300
9	124	180
8	98	180
8	178	180
6	81	360
21	22	140
22	21	160
22	23	200
23	22	195
23	24	175
24	23	170
24	25	130
25	24	135
25	26	180
26	25	175
26	27	170
27	26	180
27	28	120
28	27	115
28	29	105
29	28	100
29	30	115
30	29	120
30	31	160
31	30	160
31	32	140
32	31	135
32	33	200
33	32	215
33	34	270
34	33	265
34	35	235
35	34	230
35	36	195
36	35	185
36	37	145
37	36	155
37	38	175
38	37	185
38	39	145
39	38	150
39	40	150
40	39	150
40	41	265
41	40	265
27	78	180
29	153	240
29	123	180
30	10	300
30	50	240
31	100	180
31	142	180
32	84	240
35	192	120
40	191	180
42	43	155
43	42	150
43	44	185
44	43	200
44	45	195
45	44	200
45	46	175
46	45	165
46	47	130
47	46	125
47	49	355
49	47	360
49	50	195
50	49	190
50	51	125
51	50	125
51	52	160
52	51	155
52	53	115
53	52	120
53	54	325
54	53	325
54	55	325
55	54	325
55	56	205
56	55	205
56	57	200
57	56	190
57	58	195
58	57	195
58	59	565
59	58	565
59	60	265
60	59	265
60	61	205
61	60	205
61	62	205
62	61	205
62	63	145
63	62	145
49	179	180
49	82	240
50	30	240
51	11	300
51	64	180
51	154	180
53	88	180
53	67	240
54	195	120
56	76	180
64	65	90
65	64	90
65	66	125
66	65	125
66	67	140
67	66	145
67	68	445
68	67	445
68	69	145
69	68	145
70	71	125
71	70	120
71	72	150
72	71	155
72	73	145
73	72	160
73	74	120
74	73	110
74	75	120
75	74	115
75	76	135
76	75	130
67	70	135
70	67	130
64	11	180
64	51	180
67	53	240
67	88	360
68	196	180
76	56	180
77	78	190
78	77	195
78	79	130
79	78	120
79	80	155
80	79	150
80	81	155
81	80	165
81	82	170
82	81	180
82	83	165
83	82	160
83	84	130
84	83	135
84	85	115
85	84	110
85	86	105
86	85	115
86	87	115
87	86	125
87	88	175
88	87	170
77	88	160
88	77	180
77	122	180
78	27	180
79	151	180
80	96	180
81	6	360
82	49	240
82	179	360
83	126	180
83	141	180
84	32	240
85	156	180
86	101	180
87	13	300
88	53	180
88	67	360
89	90	170
90	89	160
90	91	155
91	90	160
91	92	135
92	91	135
92	93	210
93	92	200
93	94	130
94	93	135
94	95	140
95	94	140
95	96	130
96	95	130
96	97	115
97	96	110
97	98	105
98	97	100
98	99	125
99	98	120
99	100	170
100	99	165
100	101	155
101	100	150
101	102	125
102	101	125
102	103	175
103	102	175
103	104	185
104	103	195
104	105	125
105	104	130
105	106	100
106	105	110
106	107	140
107	106	145
107	108	170
108	107	175
108	109	125
109	108	115
109	110	155
110	109	155
110	111	170
111	110	180
111	112	150
112	111	150
96	80	180
98	8	180
98	178	180
99	125	120
100	142	120
100	31	180
101	86	180
112	168	120
113	114	115
114	113	130
114	115	205
115	114	210
115	116	145
116	115	145
116	117	205
117	116	205
117	118	190
118	117	200
118	119	215
119	118	210
119	120	155
120	119	155
120	121	140
121	120	135
121	122	145
122	121	130
122	123	165
123	122	165
123	124	135
124	123	115
124	125	95
125	124	105
125	126	170
126	125	175
126	127	150
127	126	135
127	128	150
128	127	145
128	129	250
129	128	245
129	130	180
130	129	180
130	131	200
131	130	200
131	132	175
132	131	175
132	133	265
133	132	265
133	134	205
134	133	205
122	77	180
123	29	180
123	153	240
124	9	180
125	99	120
126	83	180
126	141	240
127	181	180
135	136	265
136	135	265
136	137	160
137	136	160
137	138	225
138	137	230
138	139	160
139	138	160
139	140	180
140	139	180
140	141	170
141	140	165
141	142	150
142	141	150
195	196	505
196	195	505
140	180	180
141	83	180
141	126	240
142	100	120
142	31	180
195	54	120
196	68	180
143	144	180
144	143	180
144	145	195
145	144	195
145	146	175
146	145	175
146	147	150
147	146	150
147	148	190
148	147	190
148	149	105
149	148	105
149	150	130
150	149	130
150	151	155
151	150	155
151	152	155
152	151	155
152	153	110
153	152	110
153	154	145
154	153	145
154	155	135
155	154	135
155	156	120
156	155	120
156	157	170
157	156	170
157	158	230
158	157	230
158	159	125
159	158	125
159	160	110
160	159	110
160	161	115
161	160	115
161	162	130
162	161	130
162	163	160
163	162	160
163	164	115
164	163	115
164	165	205
165	164	205
165	166	145
166	165	145
166	167	205
167	166	205
151	79	180
152	177	180
153	29	240
153	123	240
154	11	360
154	51	180
155	85	180
161	194	120
167	170	120
175	176	205
176	175	205
176	177	205
177	176	205
177	178	205
178	177	205
178	179	205
179	178	205
179	180	205
180	179	205
180	181	205
181	180	205
181	182	205
182	181	205
182	183	205
183	182	205
183	184	265
184	183	265
184	185	205
185	184	205
185	186	205
186	185	205
186	187	205
187	186	205
187	188	205
188	187	205
188	189	205
189	188	205
189	190	205
190	189	205
190	191	145
191	190	145
177	152	180
178	8	180
178	98	180
179	49	180
179	82	360
180	140	180
181	127	180
191	40	180
192	193	185
193	192	185
193	194	135
194	193	135
192	35	120
194	161	120
168	169	205
169	168	205
169	170	205
170	169	205
170	171	325
171	170	325
171	172	145
172	171	145
172	173	145
173	172	145
173	174	145
174	173	145
168	112	120
170	167	120
134	197	180
197	134	180
